key_B,surface_carrez_lot1,surface_bati,nb_pieces,type_local,nb_lots,key_A
187_B,85.95,85,4,Appartement,1,208_A
188_B,48.42,48,2,Appartement,1,209_A
188_B,48.42,48,2,Appartement,1,210_A
6085_B,46.09,46,2,Appartement,1,210_A
6948_B,35.35,35,1,Appartement,1,210_A
7084_B,63.85,67,3,Appartement,1,210_A
188_B,48.42,48,2,Appartement,1,211_A
189_B,80.87,82,4,Maison,1,212_A
190_B,165.11,156,6,Appartement,4,213_A
191_B,71.5,72,4,Appartement,1,214_A
206_B,88.5,90,5,Appartement,1,214_A
210_B,89.0,90,5,Appartement,1,214_A
192_B,82.54,82,3,Appartement,1,215_A
193_B,39.97,41,2,Appartement,3,216_A
194_B,146.68,158,4,Appartement,1,217_A
195_B,31.6,40,2,Appartement,1,218_A
199_B,37.3,40,2,Appartement,1,218_A
200_B,49.1,53,2,Appartement,1,218_A
196_B,92.0,80,4,Maison,1,219_A
197_B,73.5,65,3,Appartement,1,220_A
198_B,23.82,30,1,Appartement,2,221_A
201_B,30.94,31,1,Appartement,1,224_A
202_B,65.66,67,3,Maison,1,225_A
202_B,65.66,67,3,Maison,1,226_A
203_B,27.19,27,1,Appartement,1,227_A
203_B,27.19,27,1,Appartement,1,228_A
33629_B,31.09,46,3,Appartement,1,228_A
204_B,46.92,53,2,Appartement,1,229_A
205_B,78.3,82,4,Maison,1,230_A
214_B,47.44,48,2,Appartement,1,230_A
215_B,80.14,90,4,Maison,1,230_A
216_B,53.42,53,3,Appartement,1,230_A
207_B,24.05,27,1,Appartement,1,232_A
208_B,92.54,92,4,Maison,1,233_A
209_B,60.05,62,3,Appartement,1,234_A
211_B,23.86,27,1,Appartement,1,236_A
221_B,26.4,27,1,Appartement,1,236_A
211_B,23.86,27,1,Appartement,1,237_A
212_B,25.0,64,3,Appartement,1,238_A
213_B,148.41,155,5,Appartement,1,239_A
217_B,66.36,67,3,Appartement,1,243_A
217_B,66.36,67,3,Appartement,1,244_A
218_B,28.13,29,1,Appartement,1,245_A
219_B,88.14,119,4,Maison,1,246_A
220_B,77.91,76,3,Appartement,1,247_A
221_B,26.4,27,1,Appartement,1,249_A
222_B,119.4,122,4,Appartement,1,250_A
223_B,33.49,32,1,Appartement,2,251_A
224_B,96.4,127,4,Appartement,1,252_A
225_B,53.22,52,2,Appartement,1,253_A
226_B,142.98,143,5,Appartement,2,254_A
227_B,50.16,43,2,Appartement,3,255_A
228_B,108.49,127,4,Appartement,1,256_A
229_B,29.16,29,1,Appartement,2,257_A
229_B,29.16,29,1,Appartement,2,258_A
230_B,79.27,81,4,Maison,1,259_A
231_B,64.21,67,4,Appartement,1,260_A
232_B,121.9,122,5,Appartement,2,261_A
233_B,145.28,145,4,Maison,1,262_A
234_B,49.99,49,3,Appartement,1,263_A
235_B,58.67,58,2,Appartement,1,264_A
236_B,55.74,50,3,Maison,1,265_A
237_B,77.56,77,5,Appartement,2,266_A
238_B,49.33,48,2,Appartement,2,267_A
239_B,47.02,36,3,Appartement,3,268_A
240_B,37.18,75,2,Appartement,6,269_A
241_B,106.0,109,6,Maison,3,270_A
242_B,39.62,64,3,Maison,3,271_A
243_B,81.62,81,4,Appartement,1,272_A
244_B,41.42,44,1,Appartement,1,273_A
264_B,73.94,75,3,Appartement,1,273_A
245_B,62.15,83,3,Appartement,1,274_A
246_B,59.81,59,4,Appartement,2,275_A
247_B,20.45,26,1,Appartement,1,276_A
248_B,89.56,86,3,Appartement,1,277_A
249_B,570.0,110,6,Maison,1,278_A
250_B,21.4,21,1,Appartement,1,279_A
258_B,20.69,23,1,Appartement,1,279_A
250_B,21.4,21,1,Appartement,1,280_A
251_B,49.46,57,2,Appartement,1,281_A
252_B,45.12,44,2,Appartement,1,281_A
266_B,68.37,67,3,Appartement,1,281_A
267_B,73.65,73,3,Appartement,1,281_A
253_B,68.95,72,3,Appartement,2,283_A
254_B,76.95,76,3,Appartement,2,284_A
255_B,72.93,72,2,Appartement,1,285_A
256_B,65.9,64,3,Appartement,2,286_A
257_B,31.84,32,2,Appartement,1,287_A
258_B,20.69,23,1,Appartement,1,289_A
1202_B,21.5,22,1,Appartement,1,289_A
259_B,29.36,33,1,Appartement,1,290_A
263_B,23.7,25,1,Appartement,1,290_A
260_B,67.85,54,3,Appartement,3,291_A
261_B,51.07,42,3,Appartement,1,292_A
262_B,29.21,30,1,Appartement,1,293_A
265_B,93.89,110,6,Maison,1,296_A
267_B,73.65,73,3,Appartement,1,299_A
268_B,31.62,32,1,Appartement,2,300_A
269_B,60.2,60,3,Appartement,2,301_A
270_B,48.5,54,3,Appartement,1,302_A
271_B,57.74,58,3,Appartement,2,303_A
271_B,57.74,58,3,Appartement,2,304_A
272_B,78.24,75,4,Appartement,1,305_A
273_B,64.24,64,3,Appartement,1,306_A
273_B,64.24,64,3,Appartement,1,307_A
274_B,34.46,33,2,Appartement,1,308_A
276_B,34.9,38,1,Appartement,1,308_A
277_B,22.19,22,1,Appartement,1,308_A
275_B,124.01,77,3,Appartement,3,309_A
277_B,22.19,22,1,Appartement,1,312_A
277_B,22.19,22,1,Appartement,1,313_A
278_B,83.87,84,4,Appartement,2,314_A
279_B,107.77,112,5,Maison,1,315_A
280_B,61.4,60,4,Appartement,2,316_A
281_B,128.8,85,5,Maison,1,317_A
282_B,58.46,59,3,Appartement,2,318_A
283_B,40.06,40,2,Appartement,2,319_A
283_B,40.06,40,2,Appartement,2,320_A
284_B,78.3,79,4,Appartement,2,321_A
285_B,106.0,105,5,Appartement,2,322_A
286_B,74.54,80,3,Appartement,1,323_A
287_B,81.72,79,3,Appartement,2,324_A
288_B,67.64,67,4,Appartement,2,325_A
289_B,42.98,47,2,Appartement,2,326_A
290_B,40.57,45,2,Appartement,3,327_A
291_B,105.71,119,4,Appartement,1,328_A
292_B,106.43,133,4,Appartement,3,329_A
293_B,29.74,31,1,Appartement,1,330_A
294_B,65.4,66,3,Appartement,1,331_A
294_B,65.4,66,3,Appartement,1,332_A
295_B,144.6,120,4,Appartement,1,333_A
296_B,24.74,24,1,Appartement,1,334_A
297_B,32.89,33,1,Appartement,1,335_A
297_B,32.89,33,1,Appartement,1,336_A
298_B,20.92,20,1,Appartement,1,337_A
299_B,93.76,120,4,Appartement,1,338_A
300_B,20.73,20,1,Appartement,1,339_A
300_B,20.73,20,1,Appartement,1,340_A
301_B,26.6,27,2,Appartement,1,341_A
302_B,40.0,50,3,Appartement,1,342_A
303_B,27.46,26,1,Appartement,1,343_A
304_B,51.42,51,2,Appartement,1,344_A
305_B,71.39,71,3,Maison,1,345_A
306_B,41.16,49,2,Appartement,1,346_A
307_B,65.5,32,2,Appartement,1,347_A
308_B,34.95,35,2,Appartement,1,348_A
309_B,60.66,52,3,Appartement,1,349_A
310_B,24.32,25,1,Appartement,1,350_A
311_B,23.02,23,1,Appartement,1,351_A
311_B,23.02,23,1,Appartement,1,352_A
311_B,23.02,23,1,Appartement,1,353_A
33119_B,22.76,22,1,Appartement,1,353_A
312_B,59.73,63,2,Appartement,1,354_A
313_B,33.05,33,2,Appartement,1,355_A
313_B,33.05,33,2,Appartement,1,356_A
314_B,23.25,23,1,Appartement,1,357_A
314_B,23.25,23,1,Appartement,1,358_A
314_B,23.25,23,1,Appartement,1,359_A
15052_B,24.0,23,2,Appartement,1,359_A
314_B,23.25,23,1,Appartement,1,360_A
314_B,23.25,23,1,Appartement,1,361_A
315_B,30.47,30,2,Appartement,1,362_A
316_B,28.33,29,1,Appartement,1,363_A
317_B,35.97,44,1,Appartement,1,364_A
318_B,20.85,32,2,Maison,1,365_A
319_B,20.55,21,1,Appartement,1,366_A
319_B,20.55,21,1,Appartement,1,367_A
3670_B,19.0,18,1,Appartement,1,367_A
320_B,142.9,147,5,Appartement,1,368_A
321_B,18.44,18,1,Appartement,1,369_A
325_B,18.84,18,1,Appartement,1,369_A
321_B,18.44,18,1,Appartement,1,370_A
3568_B,30.38,30,2,Appartement,1,370_A
321_B,18.44,18,1,Appartement,1,371_A
321_B,18.44,18,1,Appartement,1,372_A
325_B,18.84,18,1,Appartement,1,372_A
2377_B,18.94,18,1,Appartement,1,372_A
322_B,26.76,30,1,Appartement,1,373_A
323_B,53.1,51,2,Appartement,1,374_A
324_B,35.2,23,2,Appartement,2,375_A
325_B,18.84,18,1,Appartement,1,377_A
326_B,80.26,80,3,Appartement,1,379_A
327_B,76.81,74,4,Appartement,3,380_A
328_B,79.54,80,3,Appartement,2,381_A
329_B,72.07,85,2,Appartement,1,382_A
330_B,29.66,29,2,Appartement,1,383_A
330_B,29.66,29,2,Appartement,1,384_A
22731_B,22.3,23,1,Appartement,1,384_A
331_B,29.03,37,2,Appartement,1,385_A
434_B,17.6,17,1,Appartement,1,385_A
332_B,82.37,79,5,Maison,1,386_A
333_B,33.8,41,2,Appartement,1,387_A
334_B,19.72,19,1,Appartement,1,388_A
334_B,19.72,19,1,Appartement,1,389_A
335_B,15.0,98,4,Appartement,2,390_A
336_B,58.96,60,3,Appartement,1,391_A
337_B,42.73,42,2,Appartement,2,392_A
338_B,25.32,27,1,Appartement,1,393_A
352_B,25.07,27,1,Appartement,1,393_A
339_B,14.41,20,1,Appartement,1,394_A
340_B,38.97,60,2,Appartement,1,395_A
341_B,44.44,35,3,Appartement,2,396_A
342_B,27.26,29,1,Maison,1,397_A
343_B,83.88,84,5,Appartement,2,398_A
344_B,25.55,29,2,Appartement,1,399_A
345_B,40.4,38,1,Appartement,1,400_A
346_B,136.86,44,2,Appartement,1,401_A
347_B,90.75,87,4,Appartement,1,402_A
348_B,59.36,66,2,Maison,1,403_A
349_B,26.99,27,1,Appartement,1,404_A
350_B,67.22,68,3,Appartement,1,405_A
370_B,35.71,36,1,Appartement,1,405_A
351_B,39.16,30,2,Appartement,1,406_A
353_B,63.73,68,3,Appartement,1,408_A
354_B,102.87,100,4,Appartement,1,409_A
437_B,25.35,25,1,Appartement,1,409_A
355_B,82.11,81,4,Appartement,2,410_A
356_B,23.35,24,1,Appartement,2,411_A
356_B,23.35,24,1,Appartement,2,412_A
357_B,30.05,31,1,Appartement,2,413_A
358_B,49.2,51,2,Appartement,1,414_A
358_B,49.2,51,2,Appartement,1,415_A
359_B,24.25,24,1,Appartement,1,416_A
359_B,24.25,24,1,Appartement,1,417_A
360_B,37.55,36,2,Appartement,1,418_A
361_B,108.85,81,2,Appartement,1,419_A
362_B,73.99,59,3,Appartement,1,420_A
363_B,28.02,28,1,Appartement,1,421_A
364_B,22.91,27,1,Appartement,1,422_A
365_B,27.36,27,1,Appartement,1,423_A
400_B,27.5,27,1,Appartement,1,423_A
365_B,27.36,27,1,Appartement,1,424_A
366_B,27.22,27,1,Appartement,1,425_A
367_B,92.94,95,4,Maison,1,426_A
368_B,30.95,30,1,Appartement,1,427_A
369_B,62.43,60,2,Appartement,1,428_A
371_B,61.53,61,2,Appartement,1,430_A
372_B,27.18,26,1,Appartement,1,431_A
372_B,27.18,26,1,Appartement,1,432_A
373_B,18.0,18,1,Appartement,1,433_A
373_B,18.0,18,1,Appartement,1,434_A
373_B,18.0,18,1,Appartement,1,435_A
373_B,18.0,18,1,Appartement,1,436_A
9574_B,18.4,19,1,Appartement,1,436_A
373_B,18.0,18,1,Appartement,1,437_A
373_B,18.0,18,1,Appartement,1,438_A
373_B,18.0,18,1,Appartement,1,439_A
20829_B,49.03,49,2,Appartement,2,439_A
373_B,18.0,18,1,Appartement,1,440_A
374_B,24.87,25,1,Appartement,1,441_A
375_B,62.85,70,3,Appartement,1,442_A
376_B,56.52,54,3,Appartement,1,443_A
377_B,52.45,70,4,Appartement,1,444_A
378_B,67.0,64,4,Appartement,1,445_A
380_B,54.33,54,3,Appartement,1,445_A
379_B,28.48,28,1,Appartement,1,446_A
380_B,54.33,54,3,Appartement,1,448_A
381_B,35.65,46,2,Appartement,1,449_A
382_B,21.35,23,1,Appartement,1,450_A
383_B,32.84,33,1,Appartement,1,451_A
384_B,19.28,19,1,Appartement,1,452_A
385_B,55.5,61,2,Appartement,2,453_A
386_B,73.48,75,4,Appartement,2,454_A
387_B,75.06,74,3,Appartement,1,455_A
388_B,83.46,82,4,Appartement,1,456_A
389_B,89.06,93,4,Maison,1,457_A
390_B,25.08,24,2,Appartement,1,458_A
391_B,26.41,26,1,Appartement,1,459_A
392_B,54.79,54,4,Appartement,1,460_A
393_B,42.72,45,2,Appartement,1,461_A
394_B,45.2,50,2,Appartement,1,462_A
395_B,44.24,45,2,Appartement,1,463_A
396_B,41.7,15,1,Appartement,1,464_A
397_B,46.21,50,2,Appartement,2,465_A
398_B,64.99,63,3,Appartement,1,466_A
399_B,97.07,87,4,Maison,1,467_A
400_B,27.5,27,1,Appartement,1,469_A
401_B,54.64,56,3,Appartement,1,470_A
401_B,54.64,56,3,Appartement,1,471_A
402_B,44.2,52,2,Appartement,2,472_A
403_B,16.61,17,1,Appartement,1,473_A
404_B,46.42,47,2,Appartement,2,474_A
405_B,25.44,26,2,Appartement,1,475_A
406_B,17.31,18,1,Appartement,1,476_A
422_B,28.4,20,2,Appartement,1,476_A
406_B,17.31,18,1,Appartement,1,477_A
14886_B,17.3,18,1,Appartement,1,477_A
407_B,22.9,39,1,Appartement,1,478_A
408_B,46.93,30,2,Appartement,1,479_A
409_B,38.9,40,2,Appartement,1,480_A
410_B,152.65,110,5,Appartement,1,481_A
411_B,36.42,40,1,Appartement,2,482_A
412_B,25.95,38,1,Appartement,1,483_A
413_B,53.81,53,2,Appartement,1,484_A
414_B,30.0,31,1,Appartement,1,485_A
414_B,30.0,31,1,Appartement,1,486_A
414_B,30.0,31,1,Appartement,1,487_A
